text,pnum,x0,y0,x1,y1,y
"ANO XXXV Nº 211
BRASÍLIA – DF, SEGUNDA-FEIRA, 4 DE NOVEMBRO DE 2002  PREÇO R$ 1,10",0,28.5,188.4947509765625,737.295166015625,208.25425720214844,False
"Secretaria de Coordenação das Administrações 
Regionais 
 
16 
 
26 
 
43 ",0,34.5,404.7834167480469,351.7475280761719,428.7762145996094,False
"Secretaria Extraordinária de Fiscalização 
de Atividades Urbanas 
   
27 
 ",0,34.5,428.7834167480469,347.2475280761719,452.7762145996094,False
"LEI COMPLEMENTAR Nº 653, DE 24 DE SETEMBRO DE 2002
(Autoria do Projeto: Poder Executivo)
Autoriza a desafetação da área que específica, para Paróquia Nossa Senhora do Rosário de
Pompéia, e dá outras providências.
O GOVERNADOR DO DISTRITO FEDERAL, FAÇO SABER QUE A CÂMARA LEGIS-
LATIVA DO DISTRITO FEDERAL DECRETA E EU SANCIONO A SEGUINTE LEI:
Art. 1° Fica autorizada a desafetação de uma área de 6.773,79m² (seis mil setecentos e
setenta e três vírgula setenta e nove metros quadrados)de área pública de uso comum do
povo, localizada no Setor de Clubes Esportivos Norte – SCE/N, entre os lotes 7 e 9 e a
Estrada Hotéis de Turismo, na Região Administrativa de Brasília – RA I, destinada à Paró-
quia de Nossa Senhora do Rosário de Pompéia.
§ 1°- A área desafetada pela presente Lei Complementar passa a constituir nova unidade imobi-
liária destinada a uso institucional.
§ 2°- Para cumprimento desta Lei Complementar, o Poder Executivo fará realizar audiência
pública, nos termos do art. 51 da Lei Orgânica do Distrito Federal.
Art. 2° Fica o Poder Executivo autorizado a doar, com encargos, a área objeto do artigo anterior à
Mitra Arquidiocesana de Brasília, para uso da Paróquia de Nossa Senhora do Rosário de Pompéia.
Art. 3° Esta Lei Complementar entra em vigor na data de sua publicação.
Art. 4° Revogam-se as disposições em contrário.
Brasília, 24 de setembro de 2002
114º da República e 43º de Brasília
JOAQUIM DOMINGOS RORIZ",0,28.5,560.7730102539062,370.3426513671875,800.5689697265625,False
"DECRETO N.º 23.329, DE 31 DE OUTUBRO DE 2002
Renova o prazo estabelecido no artigo 1º do Decreto n.º 23.010, de 05 de junho de 2002 e dá
outras providências.
O GOVERNADOR DO DISTRITO FEDERAL, no uso das atribuições que lhe são conferidas
pelo artigo 100, inciso VII da Lei Orgânica do Distrito Federal,  decreta:
Art. 1º - Fica renovado,  por mais 90  (noventa)  dias, o prazo previsto no artigo 1º do Decreto n.º",0,28.5,809.7730102539062,369.7515869140625,875.7789916992188,False
"23.010, de 05 de junho de 2002, a contar de 28 de julho de 2002.
Art. 2º - Revogam-se as disposições em contrário.
Brasília-DF, 31 de outubro de 2002
114º da República e 43º de Brasília
JOAQUIM DOMINGOS RORIZ",0,396.75,220.2729949951172,630.8001098632812,273.3190002441406,False
"DECRETO Nº 23.330 , DE 31 DE OUTUBRO DE 2002
Aprova Projeto Urbanístico de Parcelamento na Região Administrativa de Santa Maria – RA-
XIII, e dá outras providências.
O GOVERNADOR DO DISTRITO FEDERAL, no uso das atribuições que lhe confere o artigo
100, incisos VII e XXVI,  da Lei Orgânica do Distrito Federal, combinado com o art. 77, da Lei
Complementar nº 17, de 28 de janeiro de 1997, e considerando o que consta do processo n.º
030.001.490/97, DECRETA:
Art.1º Fica aprovado o Projeto de Urbanismo referente ao Condomínio Residencial Querência,
localizado à QR 205, no Setor Habitacional Tororó – SHTO, na Região Administrativa de Santa
Maria – RA-XIII, consubstanciado no Projeto de Urbanismo URB 106/99, no Memorial Descri-
tivo MDE 106/99, e nas Normas de Edificação, Uso e Gabarito NGB 106/99.
Art.2º Este Decreto entra em vigor na data de sua publicação.
Art. 3º Revogam-se as disposições em contrário.
Brasília, 31 de outubro  de 2002
114º  da República e 43º de Brasília
JOAQUIM DOMINGOS RORIZ",0,396.75,281.02301025390625,738.0499877929688,446.5690002441406,False
"DECRETO N.º  23.331, DE 31 DE OUTUBRO DE 2002
Aprova Projeto Urbanístico de Parcelamento na Região Administrativa de Santa Maria – RA-
XIII, e dá outras providências.
O GOVERNADOR DO DISTRITO FEDERAL, no uso das atribuições que lhe confere o artigo
100, incisos VII e XXVI, da Lei Orgânica do Distrito Federal, combinado com o art. 77, da Lei
Complementar nº 17, de 28 de janeiro de 1997, e considerando o que consta do processo nº
111.000.440/2002, DECRETA:
Art. 1º Fica aprovado o Projeto Urbanístico de Parcelamento referente ao Conjunto 8, Trecho 1,
no Pólo de Desenvolvimento Juscelino Kubitschek, no Setor de Indústria e Comércio de Apoio,
na Região Administrativa de Santa Maria – RA-XIII, consubstanciado no Projeto de Urbanismo
– Parcelamento URB 04/2002, e no Memorial Descritivo MDE 04/2002.
Parágrafo único. As normas aplicáveis a área disposta neste artigo serão as constantes das Nor-
mas de Edificação, Uso e Gabarito NGB 22/01.
Art. 2º  Este Decreto entra em vigor na data de sua publicação.
Art. 3º  Revogam-se as disposições em contrário.
Brasília, 31 de outubro de 2002
114º da República e 43º de Brasília
JOAQUIM DOMINGOS RORIZ",0,396.75,455.02301025390625,738.039306640625,641.5689697265625,False
"PORTARIA Nº 712, DE 30 DE OUTUBRO DE 2002
A SECRETÁRIA DE GESTÃO ADMINISTRATIVA DO DISTRITO FEDERAL, no uso de
suas atribuições regimentais, e tendo em vista o disposto no Decreto nº 21.170, de 5 de maio de
2000, e o constante do Processo nº 030.002.693/2001, que trata dos procedimentos de contrata-
ção de empresa concessionária de serviços de telecomunicações, resolve:
Art. 1º -  Estabelecer procedimentos visando implementar, no âmbito da Secretaria de Estado de
Gestão Administrativa, o uso dos serviços contínuos nacionais de telefonia de longa distância
(chamadas interurbanas), contratados para a Região II.
Art. 2º - A divisão geográfica de atendimento para os serviços de que trata o artigo 1º abrange os
Estados do Acre, Mato Grosso, Mato Grosso do Sul, Paraná, Rio Grande do Sul, Rondônia,
Santa Catarina e Tocantins, iniciando-se os códigos de discagem direta a distância – DDD dos
respectivos estados em 4, 5 e 6.
§ 1º - As ligações para as localidades previstas neste artigo serão efetuadas exclusivamente pelo
código 14, da prestados de serviços BRASIL TELECOM S/A, vencedora do certame licitatório.
§ 2º - Fica proibida a utilização de códigos de outras prestadoras, correndo por conta da chefia
responsável pelo telefone o ressarcimento das despesas pelo seu uso indevido.
Art. 3º - Esta portaria entra em vigor na data de sua publicação.
Art. 4º - Revogam-se as disposições em contrário.
MARIA CECÍLIA S. S. LANDIM",0,396.75,683.7730102539062,737.3240966796875,876.5289916992188,False
"                                     Diário Oficial do Distrito Federal
PÁGINA   2
Nº 211,  segunda-feira, 4 de novembro de 2002",1,27.75,31.502498626708984,736.6690673828125,51.12474822998047,False
"GRACIANA GARCIA LÔBO
Secretária de Governo",1,527.25,807.4832763671875,641.533935546875,833.0747680664062,False
"  LAEZIA GLÓRIA BEZERRA
Diretora de Divulgação",1,525.0,837.4832763671875,643.0761108398438,862.3247680664062,False
